	InputReads	GenomeReads	TranscriptomeReads	TranscriptomeGenomeRatio	TranscriptomeComplexity
sample_B144_TGACCA_fastq	3004941	1622592	1602535	0.987639	0.00893647
sample_B145_TTAGGC_fastq	4092896	3321391	3293666	0.991653	0.00593928
sample_B146_TATAAT_fastq	12062145	6908837	6851046	0.991635	0.00516023
sample_B147_CAAAAG_fastq	13899001	11734959	11666779	0.99419	0.00368782
sample_B148_CTTGTA_fastq	9729081	7159887	7117000	0.99401	0.00592722
sample_B149_GCCAAT_fastq	9912203	6823452	6763728	0.991247	0.00654107
sample_B14_CCAACA_fastq	22016088	18925811	18738776	0.990117	0.00505273
sample_B1510_GTTTCG_fastq	5554147	4865888	4833852	0.993416	0.00830787
sample_B1510_TATAAT_fastq	8146131	6094127	5905917	0.969116	0.0119732
sample_B151_TCGAAG_fastq	3215049	2428615	2409295	0.992045	0.00948535
sample_B152_CCGTCC_fastq	9345884	8487579	8423292	0.992426	0.00904587
sample_B153_TCATTC_fastq	3512174	2772322	2748819	0.991522	0.013018
sample_B154_TATAAT_fastq	8623182	4786095	4700950	0.98221	0.00670205
sample_B155_CCGTCC_fastq	4114036	3502272	3474855	0.992172	0.00660833
sample_B156_ACTTGA_fastq	5289731	399507	354128	0.886413	0.0252846
sample_B156_AGTCAA_fastq	6572686	5776878	5745900	0.994638	0.00789885
sample_B157_CAGATC_fastq	12001125	8463257	8363553	0.988219	0.00645455
sample_B158_CGATGT_fastq	11180145	7930610	7817475	0.985734	0.00750178
sample_B159_CTCAGA_fastq	7998014	7117739	7064615	0.992536	0.00658111
sample_B15_GATCAG_fastq	30720868	25602286	25285807	0.987639	0.00448948
sample_B1610_GTGAAA_fastq	2406433	2053141	2033567	0.990466	0.0120798
sample_B1614_CGTACG_fastq	11052492	9241209	9158140	0.991011	0.00667668
sample_B161_CAGATC_fastq	8131212	5036341	5015841	0.99593	0.00466462
sample_B162_GCCAAT_fastq	8310133	5556028	5519791	0.993478	0.00713705
sample_B163_GTCCGC_fastq	1441745	1046216	1028141	0.982723	0.0148297
sample_B164_TCGGCA_fastq	3839649	3104091	3057893	0.985117	0.010275
sample_B165_ACTGAT_fastq	4806282	3756806	3723860	0.99123	0.00918268
sample_B166_GTTTCG_fastq	1794773	1642891	1634957	0.995171	0.00967915
sample_B167_TAGCTT_fastq	3495750	1947495	1905188	0.978276	0.0121594
sample_B168_CACCGG_fastq	3323754	2215124	2198175	0.992349	0.0101179
sample_B169_TCGGCA_fastq	5436268	4234783	4191892	0.989872	0.00742767
sample_B16_GTAGAG_fastq	7474829	6864267	6794694	0.989864	0.00596892
sample_B1710_TCATTC_fastq	4769472	3553288	3478560	0.978969	0.0108786
sample_B1714_GGCTAC_fastq	10052560	7100293	7006946	0.986853	0.0132059
sample_B171_GGTAGC_fastq	16761050	11185855	11090003	0.991431	0.00570514
sample_B172_TACAGC_fastq	5107398	3735218	3700512	0.990708	0.00810023
sample_B173_ATTCCT_fastq	11618847	3974207	3873000	0.974534	0.00893881
sample_B174_CTAGCT_fastq	15820753	45462	42775	0.940896	0.0603156
sample_B175_CATTTT_fastq	8595410	6685102	6583074	0.984738	0.0109144
sample_B176_CTCAGA_fastq	8238174	6045003	5943893	0.983274	0.00684821
sample_B177_GACGAC_fastq	9978020	7202680	7106335	0.986624	0.00484399
sample_B178_GATCAG_fastq	1886639	1592104	1566492	0.983913	0.0132519
sample_B179_GCCAAT_fastq	5333179	4372820	4339352	0.992346	0.00789818
sample_B17_TCATTC_fastq	4219878	3838104	3816449	0.994358	0.00599117
sample_B18_ACTGAT_fastq	7517632	6722560	6614116	0.983869	0.00795964
sample_B19_CGGAAT_fastq	13268716	3221972	3011842	0.934782	0.0123891
sample_B2010_TCGGCA_fastq	11146179	9654088	9570876	0.991381	0.00743213
sample_B2014_ATGAGC_fastq	11167843	10058320	9982203	0.992432	0.00583068
sample_B201_CTAGCT_fastq	2277871	2089398	2076690	0.993918	0.00921466
sample_B202_GGTAGC_fastq	8469714	7883814	7810943	0.990757	0.00673222
sample_B203_ATGTCA_fastq	9434814	1688744	1567474	0.928189	0.015021
sample_B204_TCGGCA_fastq	15317485	14085538	14022129	0.995498	0.0038343
sample_B205_GTGGCC_fastq	7423391	6772212	6713212	0.991288	0.00673716
sample_B206_CTATAC_fastq	4921225	4543256	4515158	0.993815	0.00703674
sample_B207_ACTGAT_fastq	10478066	9617256	9554588	0.993484	0.00543959
sample_B208_CACTCA_fastq	17517673	15440328	15303260	0.991123	0.00553183
sample_B209_AGTTCC_fastq	12602618	11410863	11343923	0.994134	0.00553803
sample_B210_TGACCA_fastq	10458233	9544237	9407805	0.985705	0.00755309
sample_B211_GTGGCC_fastq	3954690	3762065	3743856	0.99516	0.00783684
sample_B212_CATGGC_fastq	3717211	3416096	3400278	0.99537	0.00794347
sample_B213_CCGTCC_fastq	3747852	3605998	3584052	0.993914	0.00750463
sample_B214_CACGAT_fastq	3725998	3509971	3493495	0.995306	0.00819953
sample_B214_CACTCA_fastq	4249538	2966365	2835708	0.955954	0.0210854
sample_B215_CAACTA_fastq	3444509	3235513	3219634	0.995092	0.00858949
sample_B216_CAAAAG_fastq	3399014	3135155	3119767	0.995092	0.00798521
sample_B217_GTTTCG_fastq	3655050	3330406	3316175	0.995727	0.00865576
sample_B218_GTAGAG_fastq	2853502	2724961	2711086	0.994908	0.00832508
sample_B219_CCAACA_fastq	4028350	3792147	3770030	0.994168	0.00758747
sample_B21_CACTCA_fastq	1873739	534937	210395	0.393308	0.130022
sample_B21_GATCAG_fastq	7254314	4021288	3951712	0.982698	0.0109702
sample_B22_TACAGC_fastq	2207932	1910194	1891474	0.9902	0.00828666
sample_B24_ATGAGC_fastq	26661748	24406399	24049674	0.985384	0.00391743
sample_B25_CACGAT_fastq	8446206	7336192	7197962	0.981158	0.00863161
sample_B26_CACCGG_fastq	9319455	8027757	7905589	0.984782	0.00542275
sample_B27_CAAAAG_fastq	1270577	566400	495161	0.874225	0.0369294
sample_B28_ATGAGC_fastq	3324134	2428331	2326488	0.95806	0.0135965
sample_B29_CGATGT_fastq	3542422	3074263	2991164	0.972969	0.0123527
sample_B300_GTTTCG_fastq	4980746	4633647	4586490	0.989823	0.0056093
sample_B301_TAGCTT_fastq	9639134	8830206	8798276	0.996384	0.00275202
sample_B302_TGACCA_fastq	21470688	18886692	18763702	0.993488	0.00243998
sample_B304_CAAAAG_fastq	5950772	5511659	5487511	0.995619	0.00518505
sample_B306_GAGTGG_fastq	5185589	4753801	4705134	0.989763	0.00545064
sample_B307_GATCAG_fastq	9459541	8726251	8653762	0.991693	0.00223856
sample_B30_AGTTCC_fastq	10141645	8391496	8305719	0.989778	0.00267057
sample_B310_GATCAG_fastq	5639321	4943037	4900777	0.991451	0.00482026
sample_B311_GTCCGC_fastq	9238465	4715058	4019655	0.852514	0.00680805
sample_B312_CACCGG_fastq	6004553	5693492	5676334	0.996986	0.0035049
sample_B314_GACGAC_fastq	7101734	6562756	6512347	0.992319	0.0062833
sample_B315_GTAGAG_fastq	5616250	4316397	3918422	0.907799	0.00491422
sample_B316_ATTCCT_fastq	7514941	6565761	6476445	0.986397	0.00648087
sample_B317_ATCACG_fastq	6245219	4861086	3988117	0.820417	0.0101687
sample_B31_TAGCTT_fastq	5529832	4870849	4824082	0.990399	0.00829754
sample_B320_CTTGTA_fastq	2568535	2235104	2224954	0.995459	0.00663879
sample_B321_GACGAC_fastq	2647515	80241	61963	0.772211	0.0602618
sample_B322_GCCAAT_fastq	2899325	2526044	2494891	0.987667	0.0157658
sample_B323_GTCCGC_fastq	5050736	4553072	4494514	0.987139	0.00986336
sample_B324_ATGTCA_fastq	12610820	11012537	10827879	0.983232	0.00387647
sample_B325_CCGTCC_fastq	3743621	1719392	1703255	0.990615	0.00457771
sample_B326_CGTACG_fastq	4189547	3766417	3731445	0.990715	0.00709269
sample_B32_AGTCAA_fastq	4627684	4023899	3967974	0.986102	0.0121798
sample_B330_GTAGAG_fastq	3389528	3040399	3008986	0.989668	0.00856833
sample_B331_CTATAC_fastq	7314669	6106263	5982060	0.97966	0.0078269
sample_B332_GTGGCC_fastq	2095211	1896684	1888172	0.995512	0.00877198
sample_B333_GGTAGC_fastq	3291064	1567016	1552228	0.990563	0.0146892
sample_B334_TAATCG_fastq	8246281	5507012	3991212	0.724751	0.0465668
sample_B335_GTTTCG_fastq	10870304	7132295	7093691	0.994587	0.00428592
sample_B336_ACTTGA_fastq	5648409	5036524	4977731	0.988327	0.010228
sample_B340_GAGTGG_fastq	2102969	1959653	1920327	0.979932	0.00690039
sample_B341_GGCTAC_fastq	2962487	2121656	2059299	0.970609	0.0125611
sample_B342_CTCAGA_fastq	8069675	7164154	6981298	0.974476	0.00509175
sample_B343_GTAGAG_fastq	6247487	5747869	5691062	0.990117	0.00402491
sample_B343_GTGAAA_fastq	612432	33682	7581	0.225076	0.398496
sample_B344_CATGGC_fastq	1892342	152444	137090	0.899281	0.0293603
sample_B345_GATCAG_fastq	5832153	4838004	4496767	0.929467	0.0180997
sample_B346_CCGTCC_fastq	3799759	3105121	2536322	0.816819	0.03001
sample_B347_CAGGCG_fastq	1324359	1055920	816838	0.773579	0.0367356
sample_B34_ACAGTG_fastq	26854554	13479687	12631128	0.937049	0.00984235
sample_B350_CTAGCT_fastq	6204049	4433197	4307340	0.97161	0.0105787
sample_B351_GTAGAG_fastq	2182597	1333970	1258969	0.943776	0.0180306
sample_B352_ACTGAT_fastq	1780752	2286	1745	0.763342	0.222923
sample_B352_GTCCGC_fastq	3231474	1346271	1152233	0.85587	0.0102332
sample_B353_CACTCA_fastq	3455007	2477036	2431553	0.981638	0.0127458
sample_B354_ATGTCA_fastq	2764123	2279406	2221077	0.97441	0.0153781
sample_B355_CAGATC_fastq	25990459	21603233	19477966	0.901623	0.00880667
sample_B356_CCAACA_fastq	7739098	6304248	5605218	0.889118	0.0198729
sample_B35_CAGATC_fastq	4255279	3522251	3455890	0.981159	0.0079638
sample_B360_CGGAAT_fastq	8573187	7560336	7500717	0.992114	0.00640699
sample_B361_GTTTCG_fastq	13087774	11092769	10960316	0.98806	0.00564555
sample_B362_TCCCGA_fastq	3349048	2224365	2195879	0.987194	0.00718255
sample_B363_ATTCCT_fastq	4717220	4068816	4006319	0.98464	0.00894312
sample_B365_CAACTA_fastq	182258	11259	6226	0.55298	0.171699
sample_B365_GTGAAA_fastq	4914287	3632206	3528430	0.971429	0.00501441
sample_B366_TACAGC_fastq	2960920	1007878	917335	0.910165	0.0177939
sample_B367_CAAAAG_fastq	3795837	3073362	2901569	0.944103	0.0147527
sample_B36_CAGGCG_fastq	2595802	1930657	1896262	0.982185	0.0112738
sample_B39_AGTCAA_fastq	1662359	1359553	1326425	0.975633	0.017618
sample_B410_GGTAGC_fastq	1359527	1044474	1026435	0.982729	0.0136297
sample_B413_ATTCCT_fastq	5715894	5460323	5429238	0.994307	0.00782264
sample_B415_CGATGT_fastq	4651126	4374854	4357775	0.996096	0.00358119
sample_B416_ACTTGA_fastq	6318273	5829560	5790885	0.993366	0.00684161
sample_B417_ATGTCA_fastq	8777100	8314915	8283519	0.996224	0.00451052
sample_B422_GATCAG_fastq	14476221	13817641	13765161	0.996202	0.00468967
sample_B423_GTCCGC_fastq	5406208	5214452	5206516	0.998478	0.0049778
sample_B424_CGATGT_fastq	13187	7540	7442	0.987003	0.218893
sample_B425_CCGTCC_fastq	6473555	6179585	6160970	0.996988	0.00441749
sample_B426_GAGTGG_fastq	3142107	2959240	2933446	0.991284	0.0107863
sample_B427_CAACTA_fastq	5869277	5561042	5538709	0.995984	0.00487424
sample_B42_CAAAAG_fastq	9675381	2433791	2385952	0.980344	0.00966952
sample_B431_TAGCTT_fastq	5388918	4976318	4962032	0.997129	0.00320494
sample_B433_GTGAAA_fastq	4841286	4663691	4650616	0.997196	0.00440974
sample_B434_ATCACG_fastq	11973298	10399631	10362622	0.996441	0.00355943
sample_B435_ATCACG_fastq	5935353	174978	160507	0.917298	0.0508327
sample_B436_CAGATC_fastq	5022812	4744170	4721305	0.99518	0.00395611
sample_B437_CACCGG_fastq	129956	60314	58749	0.974052	0.0191663
sample_B43_TCCCGA_fastq	5457974	2550642	2517540	0.987022	0.0117738
sample_B442_GTGGCC_fastq	1117079	30764	22465	0.730237	0.0473181
sample_B443_GGCTAC_fastq	3986403	134501	105618	0.785258	0.0749209
sample_B444_GTAGAG_fastq	8542651	7969013	7929848	0.995085	0.00524398
sample_B445_GGTAGC_fastq	7138138	6820487	6788840	0.99536	0.00543097
sample_B446_ATGAGC_fastq	7080305	6743961	6722653	0.99684	0.00411579
sample_B447_GCCAAT_fastq	4582320	4028723	4009813	0.995306	0.0104783
sample_B44_TCGAAG_fastq	11892349	10768018	10657613	0.989747	0.00416238
sample_B45_TAATCG_fastq	8045457	6385874	6349707	0.994336	0.00386758
sample_B46_ATCACG_fastq	7714184	6327494	6269750	0.990874	0.00605431
sample_B47_CCAACA_fastq	7878516	5883357	5834524	0.9917	0.00472138
sample_B48_ACAGTG_fastq	7204498	6221948	6174301	0.992342	0.00826021
sample_B510_TGACCA_fastq	6407347	4595466	4567064	0.99382	0.00578424
sample_B52_ACTTGA_fastq	8748743	5317570	5279258	0.992795	0.00702542
sample_B53_CTTGTA_fastq	2866849	2097248	2079413	0.991496	0.00967148
sample_B54_TTAGGC_fastq	5405969	3354541	3323318	0.990692	0.00585108
sample_B55_ACTGAT_fastq	10535701	7393142	7180517	0.97124	0.00600221
sample_B56_CAGGCG_fastq	11054567	6680199	6561771	0.982272	0.00784605
sample_B57_CGGAAT_fastq	15259283	13277658	13162754	0.991346	0.00572433
sample_B58_CACCGG_fastq	3514587	2919785	2901770	0.99383	0.00916613
sample_B59_TAATCG_fastq	8369805	7420645	7378495	0.99432	0.00452477
sample_B610_ATCACG_fastq	9006021	7215052	7186421	0.996032	0.00606324
sample_B614_GTCCGC_fastq	2214360	1885237	1870197	0.992022	0.00976421
sample_B61_GATCAG_fastq	7248129	6057628	6026396	0.994844	0.00558759
sample_B62_CGATGT_fastq	3171243	2795523	2780947	0.994786	0.0107956
sample_B63_CATGGC_fastq	3121587	1894068	1877879	0.991453	0.0139908
sample_B64_CGATGT_fastq	1984433	1186698	1161290	0.978589	0.0139035
sample_B65_ATCACG_fastq	2299150	1753540	1730218	0.9867	0.0092
sample_B66_GGCTAC_fastq	2403596	2081217	2064950	0.992184	0.00858859
sample_B67_ATGAGC_fastq	7262864	5535392	5447704	0.984159	0.00738054
sample_B68_ACTTGA_fastq	11227351	9719141	9638614	0.991715	0.00695442
sample_B69_GTGAAA_fastq	11470580	10119429	10054299	0.993564	0.00569647
sample_B710_CAGATC_fastq	5806160	4930378	4825127	0.978653	0.0119562
sample_B714_ACTGAT_fastq	34705643	32702884	32586380	0.996438	0.00294856
sample_B71_GAGTGG_fastq	7410692	4522391	4448939	0.983758	0.0088511
sample_B72_TAGCTT_fastq	3391696	2358024	2331275	0.988656	0.00645226
sample_B73_GGCTAC_fastq	3916741	3704093	3665826	0.989669	0.00795291
sample_B74_CTATAC_fastq	9596936	9243672	9185215	0.993676	0.0045325
sample_B75_GTGAAA_fastq	2294025	2018277	1980358	0.981212	0.0116827
sample_B76_CTATAC_fastq	7033216	6388803	6348044	0.99362	0.00857067
sample_B77_GTGGCC_fastq	5054966	4510497	4445254	0.985535	0.00772194
sample_B78_TCGGCA_fastq	12581337	11572580	11456878	0.990002	0.00564063
sample_B79_CAAAAG_fastq	6847942	6118269	6000007	0.980671	0.00747516
sample_B82_ATCACG_fastq	5015533	3976323	3924097	0.986866	0.00794425
sample_B83_TCGGCA_fastq	3542887	2028580	1965960	0.969131	0.0146722
sample_B84_CAACTA_fastq	3634086	2695739	2634013	0.977102	0.0141632
sample_B85_CACTCA_fastq	9149078	7178637	7096633	0.988577	0.00727768
sample_B86_GAGTGG_fastq	9021568	8460447	8410989	0.994154	0.00619713
sample_B87_CACCGG_fastq	8262918	7397656	7336557	0.991741	0.00782056
sample_B910_CATTTT_fastq	2876940	2596271	2514173	0.968378	0.0144807
sample_B92_ATGTCA_fastq	7617276	4246007	4181552	0.98482	0.00663557
sample_B93_ACAGTG_fastq	58266787	52024309	51443424	0.988834	0.00304863
sample_B94_CACGAT_fastq	3643585	3329501	3249869	0.976083	0.0104426
sample_B95_ATCACG_fastq	56419943	47133318	46741809	0.991694	0.00294758
sample_B96_CAGATC_fastq	7432473	6660406	6536816	0.981444	0.00670648
sample_B97_TCATTC_fastq	5168627	4626349	4601550	0.99464	0.00500918
sample_B98_AGTCAA_fastq	5962241	1330265	1307521	0.982903	0.00853141
sample_B99_CATGGC_fastq	18552575	12134214	11313629	0.932374	0.00797543
sample_C1010_CATGGC_fastq	43078	8736	8590	0.983288	0.0852154
sample_C1011_ATGTCA_fastq	308672	79935	78187	0.978132	0.0522082
sample_C1012_CACCGG_fastq	4737502	833754	786110	0.942856	0.0217743
sample_C1013_GTCCGC_fastq	549830	65528	64352	0.982053	0.0479239
sample_C1014_AGTTCC_fastq	10504584	1378146	781472	0.567046	0.0286191
sample_C1015_CGTACG_fastq	10062637	2933455	2729694	0.930539	0.0140367
sample_C1016_TAGCTT_fastq	3977271	451400	406914	0.901449	0.0694078
sample_C101_ACTTGA_fastq	6629623	4914986	4869387	0.990722	0.00768844
sample_C102_CAGGCG_fastq	13045903	3045859	2936252	0.964014	0.0107968
sample_C103_CAACTA_fastq	13802630	8513050	8458083	0.993543	0.00377154
sample_C104_GTAGAG_fastq	7247336	4111056	3987808	0.97002	0.0113709
sample_C105_CACTCA_fastq	10104374	5021214	4981334	0.992058	0.00804102
sample_C106_GCCAAT_fastq	11059035	8401434	8275576	0.985019	0.00461551
sample_C107_AGTCAA_fastq	8222322	536788	479824	0.89388	0.020024
sample_C108_GTTTCG_fastq	10255225	6291336	6208971	0.986908	0.00655729
sample_C109_CCAACA_fastq	11324169	6806122	6602018	0.970012	0.00466691
sample_C110_ATTCCT_fastq	5377076	4696176	4437607	0.944941	0.010247
sample_C1110_TATAAT_fastq	19574074	10596037	9560725	0.902293	0.0091697
sample_C1114_CACGAT_fastq	3123	1842	1816	0.985885	0.193282
sample_C111_GCCAAT_fastq	18178153	6085075	5902834	0.970051	0.00732021
sample_C112_TAATCG_fastq	11811413	9149161	9082567	0.992721	0.00768252
sample_C113_CTAGCT_fastq	287	218	217	0.995413	0.368664
sample_C114_TATAAT_fastq	4781647	3462008	3425098	0.989339	0.00932703
sample_C117_GAGTGG_fastq	2022209	1545766	1512800	0.978673	0.0206181
sample_C118_AGTTCC_fastq	13194844	8171925	7365887	0.901365	0.0076519
sample_C11_ATCACG_fastq	14423742	13016026	12911957	0.992005	0.00339817
sample_C121_GTGGCC_fastq	15883970	10875084	10657501	0.979993	0.00884494
sample_C122_GTTTCG_fastq	9735031	6383774	6357180	0.995834	0.00944696
sample_C123_CCGTCC_fastq	2627318	1041853	1034705	0.993139	0.00783605
sample_C124_ACAGTG_fastq	28426579	14464472	14297071	0.988427	0.00823497
sample_C124_ATCACG_fastq	13215493	12311515	12266738	0.996363	0.00593581
sample_C12_TAGCTT_fastq	7861002	7542230	7526343	0.997894	0.00493095
sample_C1310_CAACTA_fastq	6780913	1514485	1434995	0.947514	0.0161136
sample_C131_ACTTGA_fastq	11234423	2037921	2001635	0.982195	0.0161683
sample_C132_GTTTCG_fastq	6327413	1930356	1791093	0.927856	0.0252918
sample_C133_ATTCCT_fastq	16434984	3375739	3295898	0.976349	0.00649777
sample_C134_GCCAAT_fastq	6364545	5675363	5649795	0.995495	0.00654395
sample_C135_CAGATC_fastq	5130357	1382713	1292681	0.934887	0.0147654
sample_C136_AGTCAA_fastq	1564298	340501	323022	0.948667	0.0277319
sample_C137_CACGAT_fastq	3130194	732446	717225	0.979219	0.0143177
sample_C138_CTTGTA_fastq	10081702	3431179	3401756	0.991425	0.00583287
sample_C139_TGACCA_fastq	11722154	2974208	2846883	0.95719	0.0107581
sample_C13_GGTAGC_fastq	6608783	6346393	6334188	0.998077	0.00522466
sample_C1410_CCGTCC_fastq	7712645	5731920	5677153	0.990445	0.00635935
sample_C1414_TACAGC_fastq	10016238	4172381	4113662	0.985927	0.0164865
sample_C141_GCCAAT_fastq	15973144	657089	552919	0.841467	0.0170947
sample_C142_GTGGCC_fastq	8188959	3930017	3692350	0.939525	0.0184278
sample_C143_CGATGT_fastq	5130720	594398	493871	0.830876	0.0193492
sample_C144_CAAAAG_fastq	9894017	1320369	1262369	0.956073	0.0133257
sample_C145_ATCACG_fastq	3950748	691457	661393	0.956521	0.0245603
sample_C146_TAATCG_fastq	19331784	1136383	1018968	0.896677	0.0194736
sample_C147_TCCCGA_fastq	10026894	3424910	3291401	0.961018	0.00650939
sample_C148_TCCCGA_fastq	10078607	4588412	4480142	0.976404	0.00815331
sample_C149_AGTCAA_fastq	5044866	946233	902790	0.954088	0.0225634
sample_C14_CTAGCT_fastq	4645649	4199695	3996219	0.95155	0.00752336
sample_C1510_CACGAT_fastq	17447058	750287	697241	0.929299	0.0171175
sample_C151_CTAGCT_fastq	12997486	2425483	2278095	0.939234	0.017915
sample_C152_ATGAGC_fastq	8728338	2515897	2289754	0.910114	0.0224317
sample_C153_GACGAC_fastq	3312392	45685	29215	0.639488	0.140784
sample_C154_CTTGTA_fastq	3359780	1110929	1042423	0.938334	0.0090587
sample_C155_GGTAGC_fastq	15432492	196099	154712	0.788948	0.0373856
sample_C157_GTGGCC_fastq	2979568	991888	954947	0.962757	0.0127892
sample_C158_TAGCTT_fastq	12578673	1165222	973915	0.835819	0.0193384
sample_C159_CTAGCT_fastq	17205423	3575246	3414066	0.954918	0.00847787
sample_C15_TAATCG_fastq	12728076	11958760	11919582	0.996724	0.0043843
sample_C1610_GAGTGG_fastq	2004836	1167301	1144098	0.980123	0.00998341
sample_C1614_TACAGC_fastq	946882	462654	447748	0.967782	0.0182245
sample_C161_ATCACG_fastq	8053770	2085064	1955414	0.93782	0.0129911
sample_C162_CGTACG_fastq	6903477	4680726	4557327	0.973637	0.0127577
sample_C163_CGTACG_fastq	3131674	2573315	2554621	0.992735	0.0114342
sample_C164_ATGTCA_fastq	1143881	793315	783088	0.987109	0.0118263
sample_C165_GTAGAG_fastq	1863649	934470	927334	0.992364	0.00674083
sample_C166_GATCAG_fastq	8670999	7629257	7579794	0.993517	0.00324402
sample_C167_GACGAC_fastq	4656525	3578439	3541626	0.989713	0.00360766
sample_C168_CTATAC_fastq	8475048	7870158	7834476	0.995466	0.00318502
sample_C169_CAGATC_fastq	8048899	3560467	3398403	0.954482	0.00922286
sample_C1710_ATGAGC_fastq	1824874	1037905	1011071	0.974146	0.00844253
sample_C1714_ATGTCA_fastq	5161581	1106357	1066168	0.963674	0.0149188
sample_C171_CTATAC_fastq	3608297	1674666	1670950	0.997781	0.00675604
sample_C171_GTGAAA_fastq	8180195	4586664	4566505	0.995605	0.00482864
sample_C172_ACAGTG_fastq	7912966	4702662	4417467	0.939355	0.0176026
sample_C173_CAGGCG_fastq	8175473	4174284	4073760	0.975918	0.00906779
sample_C174_CACTCA_fastq	6378897	3474300	3419216	0.984145	0.0058569
sample_C174_TCGAAG_fastq	8830273	1077709	933088	0.865807	0.0255892
sample_C175_AGTCAA_fastq	5340557	3788298	3741161	0.987557	0.00758214
sample_C176_GATCAG_fastq	7855108	5645434	5593415	0.990786	0.00494617
sample_C177_TTAGGC_fastq	5579792	2810438	2685762	0.955638	0.011109
