	InputReads	GenomeReads	TranscriptomeReads	TranscriptomeGenomeRatio	TranscriptomeComplexity
sample_Sample_N22_fastq	13358014	6977000	6799337	0.974536	0.014371
sample_Sample_N23_fastq	13538936	5777226	5599963	0.969317	0.0152481
sample_Sample_N24_fastq	13672738	4996834	4831314	0.966875	0.0152453
sample_Sample_N25_fastq	13782550	7372398	7253644	0.983892	0.014088
sample_Sample_N26_fastq	13576610	7054329	6905737	0.978936	0.0164234
sample_Sample_N27_fastq	13771361	7474233	7329282	0.980607	0.0147085
sample_Sample_N28_fastq	12177796	7716275	7564757	0.980364	0.0142352
sample_Sample_N29_fastq	12414405	7893136	7778771	0.985511	0.0131302
sample_Sample_N2_fastq	13721367	6546205	6341996	0.968805	0.0180918
sample_Sample_N30_fastq	13905937	8134301	8010529	0.984784	0.0133157
sample_Sample_N31_fastq	11824606	7121089	7015939	0.985234	0.0145658
sample_Sample_N32_fastq	13061151	8421640	8231083	0.977373	0.0162398
sample_Sample_N33_fastq	14148332	7809608	7661089	0.980983	0.0147286
sample_Sample_N34_fastq	12302384	6731880	6601539	0.980638	0.01738
sample_Sample_N35_fastq	12362271	6366092	6243794	0.980789	0.0157635
sample_Sample_N36_fastq	12985392	6598510	6463789	0.979583	0.0153391
sample_Sample_N37_fastq	12652019	8879889	8751230	0.985511	0.012791
sample_Sample_N38_fastq	11484671	6483890	6342900	0.978255	0.0164135
sample_Sample_N39_fastq	12549963	8635890	8515061	0.986009	0.0131965
sample_Sample_N3_fastq	10566209	4700921	4555314	0.969026	0.0193927
sample_Sample_N40_fastq	13057946	6097219	5924983	0.971752	0.0167052
sample_Sample_N41_fastq	13815435	7689408	7553602	0.982339	0.0143722
sample_Sample_N42_fastq	13435611	7019104	6882034	0.980472	0.0140925
sample_Sample_N43_fastq	11415580	6889717	6784638	0.984748	0.0138343
sample_Sample_N44_fastq	11043987	6067009	5923972	0.976424	0.0182979
sample_Sample_N45_fastq	13433351	8368018	8237116	0.984357	0.013674
sample_Sample_N46_fastq	11777249	6972405	6848252	0.982194	0.0146905
sample_Sample_N47_fastq	12288559	8249863	8160620	0.989182	0.0120833
sample_Sample_N48_fastq	13607480	10017957	9906569	0.988881	0.00970104
sample_Sample_N49_fastq	13257038	6064198	5936421	0.978929	0.0150528
sample_Sample_N4_fastq	12179667	6494983	6308309	0.971259	0.0163576
sample_Sample_N50_fastq	12507003	6643411	6493871	0.97749	0.014069
sample_Sample_N5_fastq	12706410	5036733	4840078	0.960956	0.019315
sample_Sample_N6_fastq	15118832	7485784	7292290	0.974152	0.0141016
sample_Sample_N7_fastq	11849058	5831840	5658828	0.970333	0.0173285
sample_Sample_N8_fastq	10071001	4624170	4486312	0.970188	0.0198912
sample_Sample_N9_fastq	11312543	6426558	6236135	0.970369	0.0161149
sample_Sample_PC10_fastq	12963834	5836482	5630812	0.964761	0.0159755
sample_Sample_PC11_fastq	13376308	6720046	6502454	0.96762	0.0146448
sample_Sample_PC12_fastq	13154914	5058435	4823277	0.953512	0.0169696
sample_Sample_PC13_fastq	13401752	6898216	6738136	0.976794	0.0136597
sample_Sample_PC14_fastq	13227904	7315783	7160965	0.978838	0.0132186
sample_Sample_PC15_fastq	14215981	7010305	6845202	0.976449	0.0132871
sample_Sample_PC16_fastq	13956650	6710979	6545830	0.975391	0.0131057
sample_Sample_PC17_fastq	12894323	7738033	7587114	0.980496	0.0120544
sample_Sample_PC18_fastq	16107643	8621498	8422703	0.976942	0.0124074
sample_Sample_PC19_fastq	13431466	8438044	8264757	0.979464	0.0117872
sample_Sample_PC1_fastq	12136412	6032699	5842736	0.968511	0.015663
sample_Sample_PC20_fastq	12735739	6192120	6041367	0.975654	0.0137282
sample_Sample_PC21_fastq	13602805	8220000	8077811	0.982702	0.013726
sample_Sample_PC22_fastq	12056114	7091620	6979832	0.984237	0.0142372
sample_Sample_PC23_fastq	11986989	7779392	7663880	0.985152	0.0131754
sample_Sample_PC24_fastq	13424135	6812552	6678678	0.980349	0.0150569
sample_Sample_PC25_fastq	12150189	7475818	7367520	0.985514	0.0132602
sample_Sample_PC26_fastq	11458716	6417137	6308473	0.983067	0.0137263
sample_Sample_PC27_fastq	13375771	8033573	7904271	0.983905	0.0138687
sample_Sample_PC28_fastq	13198373	7895778	7742655	0.980607	0.013922
sample_Sample_PC29_fastq	11819436	6416978	6302409	0.982146	0.0147307
sample_Sample_PC2_fastq	12058877	5573336	5405086	0.969812	0.0156308
sample_Sample_PC30_fastq	13332040	7961262	7840759	0.984864	0.0126507
sample_Sample_PC31_fastq	13011107	8332007	8214135	0.985853	0.0124708
sample_Sample_PC32_fastq	13161978	8402427	8286341	0.986184	0.0122092
sample_Sample_PC33_fastq	12946678	9341621	9207234	0.985614	0.0122605
sample_Sample_PC34_fastq	14582309	8069858	7951669	0.985354	0.0117965
sample_Sample_PC35_fastq	12192997	7666777	7581363	0.988859	0.0124441
sample_Sample_PC36_fastq	11384819	5990268	5892875	0.983741	0.0157638
sample_Sample_PC3_fastq	12035279	5571847	5410377	0.97102	0.0158368
sample_Sample_PC4_fastq	14103551	3875777	3699710	0.954572	0.0180914
sample_Sample_PC5_fastq	14862265	6208199	6003855	0.967085	0.0164573
sample_Sample_PC6_fastq	14890561	6868775	6678067	0.972236	0.014917
sample_Sample_PC7_fastq	10944417	3812639	3580485	0.939109	0.0226936
sample_Sample_PC8_fastq	11906498	5755179	5524550	0.959927	0.0176807
sample_Sample_PC9_fastq	11701463	5779824	5586304	0.966518	0.0154256
sample_Sample_Pan01_fastq	5160767	3180612	3137320	0.986389	0.0168778
sample_Sample_Pan02_fastq	4156861	2825331	2785896	0.986042	0.0158886
sample_Sample_Pan03_fastq	4872778	2770339	2724204	0.983347	0.0166728
sample_Sample_Pan04_fastq	4818779	2371932	2321534	0.978752	0.0185795
sample_Sample_Pan05_fastq	4640381	2820229	2775459	0.984125	0.0178504
sample_Sample_Pan06_fastq	5143930	3428693	3387623	0.988022	0.0155188
