	InputReads	GenomeReads	TranscriptomeReads	TranscriptomeGenomeRatio	TranscriptomeComplexity
sample_SAMPLE_0307_AD_SER_fastq	3620947	429539	173112	0.403018	0.0947479
sample_SAMPLE_0310_CONTROL_SER_fastq	10325214	1605280	1325851	0.825931	0.0489995
sample_SAMPLE_0312_CONTROL_CSF_fastq	16489435	11808207	11730283	0.993401	0.00885196
sample_SAMPLE_0312_CONTROL_SER_fastq	14076701	6181769	6094678	0.985912	0.0337531
sample_SAMPLE_0316_PD_CSF_fastq	5897334	3285582	3239303	0.985915	0.0196808
sample_SAMPLE_0316_PD_SER_fastq	6078293	3002151	2734386	0.910809	0.0252203
sample_SAMPLE_0321_AD_CSF_fastq	13879930	3081347	2995881	0.972263	0.0190592
sample_SAMPLE_0322_PD_CSF_fastq	9495063	5862648	5807182	0.990539	0.0185334
sample_SAMPLE_0322_PD_SER_fastq	8316475	5249776	5201783	0.990858	0.0159545
sample_SAMPLE_0325_PD_CSF_fastq	4136285	2515912	2485657	0.987975	0.0113032
sample_SAMPLE_0325_PD_SER_fastq	3477214	956921	811745	0.848288	0.0362503
sample_SAMPLE_0328_CONTROL_CSF_fastq	5791178	3240286	3196310	0.986428	0.018171
sample_SAMPLE_0329_PD_CSF_fastq	5889560	3355949	3319130	0.989029	0.0152371
sample_SAMPLE_0330_AD_CSF_fastq	11180230	6280702	6205635	0.988048	0.0166381
sample_SAMPLE_0330_AD_SER_fastq	9030373	4072019	3540066	0.869364	0.0289311
sample_SAMPLE_0333_AD_CSF_fastq	13972485	8187343	8084957	0.987495	0.0121506
sample_SAMPLE_0333_AD_SER_fastq	13689015	7169196	1434013	0.200024	0.183732
sample_SAMPLE_0334_AD_CSF_fastq	7526515	4136598	4048596	0.978726	0.0227323
sample_SAMPLE_0334_AD_SER_fastq	6389322	2117362	2058072	0.971998	0.0191208
sample_SAMPLE_0335_PD_CSF_fastq	10220887	4878740	4790361	0.981885	0.0172887
sample_SAMPLE_0335_PD_SER_fastq	12895469	1413911	850693	0.60166	0.094972
sample_SAMPLE_0338_AD_CSF_fastq	6923435	4605457	4549433	0.987835	0.0188986
sample_SAMPLE_0339_CONTROL_CSF_fastq	20458409	15436961	14763605	0.95638	0.0129072
sample_SAMPLE_0339_CONTROL_SER_fastq	1769954	259692	98567	0.379553	0.188237
sample_SAMPLE_0351_PD_CSF_fastq	6325643	4949821	4913975	0.992758	0.00691945
sample_SAMPLE_0351_PD_SER_fastq	6424152	2531885	2444435	0.965461	0.0204166
sample_SAMPLE_0354_AD_CSF_fastq	10747596	7529658	7450475	0.989484	0.0151687
sample_SAMPLE_0354_AD_SER_fastq	4840759	1635544	337097	0.206107	0.240373
sample_SAMPLE_0358_CONTROL_CSF_fastq	7865460	4700188	4626344	0.984289	0.0154247
sample_SAMPLE_0358_CONTROL_SER_fastq	16796805	4512481	2601548	0.576523	0.0606923
sample_SAMPLE_0405_CONTROL_SER_fastq	2849982	945450	567597	0.600346	0.0574668
sample_SAMPLE_0415_PD_CSF_fastq	19450868	12201302	12038038	0.986619	0.0122633
sample_SAMPLE_0415_PD_SER_fastq	9044820	2571302	1031292	0.401078	0.111006
sample_SAMPLE_0417_PD_CSF_fastq	3980393	1084530	1071137	0.987651	0.0150364
sample_SAMPLE_0417_PD_SER_fastq	24752607	18517840	18159281	0.980637	0.0105702
sample_SAMPLE_0422_AD_CSF_fastq	5486527	2440586	2408395	0.98681	0.0164118
sample_SAMPLE_0422_AD_SER_fastq	12134289	2573670	2342997	0.910372	0.0201865
sample_SAMPLE_0424_AD_CSF_fastq	26899295	7357960	6995691	0.950765	0.0169331
sample_SAMPLE_0427_PD_CSF_fastq	17103167	11415638	11273711	0.987567	0.012583
sample_SAMPLE_0427_PD_SER_fastq	9684712	5711289	5329869	0.933216	0.0224876
sample_SAMPLE_0430_CONTROL_CSF_fastq	5203739	3247739	3202097	0.985947	0.0181556
sample_SAMPLE_0430_CONTROL_SER_fastq	5326505	2890527	2828133	0.978414	0.0139336
sample_SAMPLE_0431_CONTROL_CSF_fastq	8497283	5227462	5181363	0.991181	0.0134023
sample_SAMPLE_0431_CONTROL_SER_fastq	3677789	295602	186838	0.632059	0.0818249
sample_SAMPLE_0438_CONTROL_CSF_fastq	11119205	7518459	7435200	0.988926	0.0108722
sample_SAMPLE_0438_CONTROL_SER_fastq	10160507	2062192	1853428	0.898766	0.0291449
sample_SAMPLE_0442_PD_CSF_fastq	2807674	1058180	1042665	0.985338	0.0192766
sample_SAMPLE_0454_AD_CSF_fastq	10168497	3646518	3503952	0.960904	0.026566
sample_SAMPLE_0454_AD_SER_fastq	5558553	329000	235168	0.714796	0.0650556
sample_SAMPLE_0462_CONTROL_CSF_fastq	3506807	1644020	1626430	0.989301	0.013671
sample_SAMPLE_0462_CONTROL_SER_fastq	3744928	2431031	2294673	0.943909	0.0193221
sample_SAMPLE_0507_PD_CSF_fastq	3544184	1634444	1591692	0.973843	0.0304883
sample_SAMPLE_0510_CONTROL_SER_fastq	2322685	105437	93704	0.88872	0.0472872
sample_SAMPLE_0511_AD_CSF_fastq	5608810	2035505	2000243	0.982677	0.0187697
sample_SAMPLE_0511_AD_SER_fastq	4781834	1474881	1396761	0.947033	0.0307798
sample_SAMPLE_0516_CONTROL_CSF_fastq	8232168	4027710	3892154	0.966344	0.0254242
sample_SAMPLE_0517_PD_CSF_fastq	9017761	4991187	4872577	0.976236	0.0196535
sample_SAMPLE_0517_PD_SER_fastq	3910970	1996606	1874981	0.939084	0.06307
sample_SAMPLE_0519_AD_CSF_fastq	6067073	4815360	4784096	0.993507	0.0114557
sample_SAMPLE_0519_AD_SER_fastq	7226067	4398989	4227754	0.961074	0.0196286
sample_SAMPLE_0520_CONTROL_CSF_fastq	15141136	7051334	6932798	0.98319	0.0249736
sample_SAMPLE_0520_CONTROL_SER_fastq	8303158	3395319	3277312	0.965244	0.0224538
sample_SAMPLE_0521_CONTROL_CSF_fastq	3088452	1509389	1480125	0.980612	0.019495
sample_SAMPLE_0521_CONTROL_SER_fastq	1947195	393505	200239	0.50886	0.13771
sample_SAMPLE_0526_PD_CSF_fastq	5303948	2737918	2684225	0.980389	0.0246231
sample_SAMPLE_0526_PD_SER_fastq	4590280	3405518	3354575	0.985041	0.0187285
sample_SAMPLE_0539_AD_CSF_fastq	4864884	3128861	3094529	0.989027	0.00781767
sample_SAMPLE_0552_AD_CSF_fastq	7392178	6634610	6613314	0.99679	0.00619084
sample_SAMPLE_0552_AD_SER_fastq	7875497	1495410	990451	0.662327	0.0533141
sample_SAMPLE_0605_CONTROL_SER_fastq	8601523	2463261	1908762	0.774892	0.0364194
sample_SAMPLE_0608_CONTROL_CSF_fastq	10051372	6448365	6320162	0.980119	0.0203354
sample_SAMPLE_0608_CONTROL_SER_fastq	3992293	2232152	692811	0.310378	0.19292
sample_SAMPLE_0612_AD_CSF_fastq	14543199	7694574	7601606	0.987918	0.0135471
sample_SAMPLE_0612_AD_SER_fastq	4138884	1486169	419041	0.281961	0.242814
sample_SAMPLE_0615_CONTROL_CSF_fastq	5206873	2864112	2817354	0.983675	0.017947
sample_SAMPLE_0615_CONTROL_SER_fastq	13152369	8944584	8858922	0.990423	0.0117996
sample_SAMPLE_0619_CONTROL_CSF_fastq	4285373	2584229	2552644	0.987778	0.0172739
sample_SAMPLE_0619_CONTROL_SER_fastq	4324841	3452774	3216347	0.931525	0.0212356
sample_SAMPLE_0621_CONTROL_CSF_fastq	25128308	7477389	6777374	0.906382	0.0262616
sample_SAMPLE_0623_PD_CSF_fastq	6211701	4771701	4719248	0.989007	0.0198235
sample_SAMPLE_0623_PD_SER_fastq	3129813	1542695	1515343	0.98227	0.0106412
sample_SAMPLE_0627_CONTROL_CSF_fastq	5584788	3006080	2983538	0.992501	0.014699
sample_SAMPLE_0627_CONTROL_SER_fastq	5741033	4031139	3977592	0.986717	0.0166814
sample_SAMPLE_0632_CONTROL_SER_fastq	4908734	2496326	2451569	0.982071	0.021073
sample_SAMPLE_0635_CONTROL_CSF_fastq	11546883	6001069	5853578	0.975423	0.0182492
sample_SAMPLE_0635_CONTROL_SER_fastq	10798735	3870624	1437456	0.371376	0.104382
sample_SAMPLE_0644_PD_CSF_fastq	7986434	5622788	5560256	0.988879	0.0195678
sample_SAMPLE_0644_PD_SER_fastq	10375195	1596978	1411489	0.88385	0.0307881
sample_SAMPLE_0651_PD_CSF_fastq	9871785	8174084	8101038	0.991064	0.00735955
sample_SAMPLE_0651_PD_SER_fastq	3241976	1867132	1731825	0.927532	0.0364402
sample_SAMPLE_0652_AD_CSF_fastq	21079076	13489122	13370508	0.991207	0.0108852
sample_SAMPLE_0652_AD_SER_fastq	11205368	863655	537940	0.622864	0.0640034
sample_SAMPLE_0655_PD_CSF_fastq	39511855	28669163	27992080	0.976383	0.0111777
sample_SAMPLE_0655_PD_SER_fastq	2062253	359802	264896	0.736227	0.0832364
sample_SAMPLE_0662_PD_CSF_fastq	17571299	12219540	12131859	0.992825	0.0134261
sample_SAMPLE_0662_PD_SER_fastq	14683137	11141095	10125040	0.908801	0.0175253
sample_SAMPLE_0663_CONTROL_CSF_fastq	22100155	15276039	15080249	0.987183	0.0172597
sample_SAMPLE_0702_AD_CSF_fastq	11471844	5938403	5862555	0.987228	0.0142242
sample_SAMPLE_0702_AD_SER_fastq	5355918	2082983	1512329	0.72604	0.0359003
sample_SAMPLE_0708_AD_CSF_fastq	9506309	6488750	6401629	0.986574	0.021162
sample_SAMPLE_0708_AD_SER_fastq	3392081	2391860	2292823	0.958594	0.0159018
sample_SAMPLE_0710_CONTROL_CSF_fastq	3951774	2706821	2671003	0.986768	0.016459
sample_SAMPLE_0711_CONTROL_CSF_fastq	17511058	5038906	4943270	0.98102	0.0288097
sample_SAMPLE_0711_CONTROL_SER_fastq	14331991	4574517	3937095	0.860658	0.0372648
sample_SAMPLE_0720_AD_CSF_fastq	7233222	2726949	2541428	0.931968	0.0348292
sample_SAMPLE_0720_AD_SER_fastq	4050823	2183522	1806347	0.827263	0.0502351
sample_SAMPLE_0722_PD_CSF_fastq	9670806	3177490	3069662	0.966065	0.0207085
sample_SAMPLE_0734_AD_CSF_fastq	4130666	1965526	1932548	0.983222	0.0255844
sample_SAMPLE_0734_AD_SER_fastq	4981367	3530131	3504507	0.992741	0.00790097
sample_SAMPLE_0741_PD_CSF_fastq	2960096	1631786	1585719	0.971769	0.0271385
sample_SAMPLE_0741_PD_SER_fastq	3367911	2203707	2120229	0.962119	0.0274428
sample_SAMPLE_0742_AD_CSF_fastq	3856674	2159976	2126826	0.984653	0.0156872
sample_SAMPLE_0742_AD_SER_fastq	2079329	1407826	1387446	0.985524	0.0216556
sample_SAMPLE_0754_AD_CSF_fastq	7750565	5319114	5183304	0.974468	0.0223018
sample_SAMPLE_0757_AD_CSF_fastq	3774637	3028354	3010513	0.994109	0.0107311
sample_SAMPLE_0757_AD_SER_fastq	2214341	1520259	1491992	0.981406	0.0131991
sample_SAMPLE_0758_CONTROL_CSF_fastq	9877289	7300369	7144048	0.978587	0.0163782
sample_SAMPLE_0758_CONTROL_SER_fastq	4203138	488040	457717	0.937868	0.0351833
sample_SAMPLE_0763_CONTROL_CSF_fastq	5790861	3917329	3824523	0.976309	0.0216461
sample_SAMPLE_0763_CONTROL_SER_fastq	5257484	2021752	1614497	0.798563	0.0363952
sample_SAMPLE_0764_AD_CSF_fastq	3961498	663651	653027	0.983992	0.0335239
sample_SAMPLE_0764_AD_SER_fastq	3674863	519534	474065	0.912481	0.0330081
sample_SAMPLE_0766_PD_CSF_fastq	11457375	8925169	8811220	0.987233	0.0116517
sample_SAMPLE_0773_CONTROL_CSF_fastq	7682607	5301350	5185490	0.978145	0.0334468
sample_SAMPLE_0773_CONTROL_SER_fastq	7714882	5907443	5468508	0.925698	0.0233927
sample_SAMPLE_0806_AD_CSF_fastq	8449527	4536874	4459462	0.982937	0.0272549
sample_SAMPLE_0806_AD_SER_fastq	15867552	12126683	11974419	0.987444	0.0173868
sample_SAMPLE_0814_PD_CSF_fastq	16500288	12766353	12615055	0.988149	0.0203155
sample_SAMPLE_0814_PD_SER_fastq	6161694	3288341	3069211	0.933362	0.0175504
sample_SAMPLE_0829_AD_CSF_fastq	9601746	6843529	6651824	0.971987	0.00898716
sample_SAMPLE_0829_AD_SER_fastq	5684250	2880299	2862597	0.993854	0.0098477
sample_SAMPLE_0832_PD_CSF_fastq	11684168	8056349	7944691	0.98614	0.0200791
sample_SAMPLE_0835_CONTROL_CSF_fastq	11821762	6901184	6789965	0.983884	0.0170646
sample_SAMPLE_0835_CONTROL_SER_fastq	11064871	7370171	7307560	0.991505	0.0143566
sample_SAMPLE_0837_AD_CSF_fastq	15527861	8783258	8517809	0.969778	0.0182164
sample_SAMPLE_0837_AD_SER_fastq	7907500	4471074	2614454	0.584749	0.0663848
sample_SAMPLE_0840_CONTROL_CSF_fastq	10413021	4321979	4069207	0.941515	0.0298392
sample_SAMPLE_0845_AD_CSF_fastq	6568912	5017075	4948154	0.986263	0.0101676
sample_SAMPLE_0845_AD_SER_fastq	1849508	97260	92545	0.951522	0.0696742
sample_SAMPLE_0852_CONTROL_CSF_fastq	9384724	6923368	6883461	0.994236	0.00806237
sample_SAMPLE_0855_CONTROL_CSF_fastq	17830303	10082887	9905477	0.982405	0.0132244
sample_SAMPLE_0855_CONTROL_SER_fastq	14447157	10775262	10708529	0.993807	0.00898125
sample_SAMPLE_0865_PD_CSF_fastq	11766217	7920499	7798892	0.984647	0.0237132
sample_SAMPLE_0865_PD_SER_fastq	15969629	13024065	12912508	0.991435	0.0140502
sample_SAMPLE_0869_AD_CSF_fastq	17179949	8302761	8148711	0.981446	0.0264114
sample_SAMPLE_0870_PD_CSF_fastq	64581180	31824752	31230183	0.981317	0.00844145
sample_SAMPLE_0874_PD_CSF_fastq	4945560	3204091	3136011	0.978752	0.0234939
sample_SAMPLE_0874_PD_SER_fastq	3693091	2349814	2307242	0.981883	0.0183938
sample_SAMPLE_0877_CONTROL_CSF_fastq	1656040	1352519	1344598	0.994144	0.00901013
sample_SAMPLE_0877_CONTROL_SER_fastq	4099957	3008149	2976286	0.989408	0.0182015
sample_SAMPLE_0882_AD_SER_fastq	10994570	7810004	7726150	0.989263	0.0150428
sample_SAMPLE_0885_CONTROL_CSF_fastq	9566750	5305093	5268811	0.993161	0.00905726
sample_SAMPLE_0888_CONTROL_CSF_fastq	7988506	1459647	1361367	0.932669	0.0421914
sample_SAMPLE_0888_CONTROL_SER_fastq	3777306	2579196	2437043	0.944885	0.0329756
sample_SAMPLE_0914_AD_CSF_fastq	2774894	1246591	1230648	0.987211	0.0198367
sample_SAMPLE_0915_PD_CSF_fastq	5208563	3320847	3263416	0.982706	0.0188199
sample_SAMPLE_0915_PD_SER_fastq	12791718	2730435	2606546	0.954627	0.026989
sample_SAMPLE_0920_CONTROL_CSF_fastq	5020799	1720216	1694363	0.984971	0.0148575
sample_SAMPLE_0920_CONTROL_SER_fastq	1421477	925369	910780	0.984234	0.0113716
sample_SAMPLE_0931_CONTROL_CSF_fastq	3205548	1311680	1277139	0.973667	0.0183731
sample_SAMPLE_0931_CONTROL_SER_fastq	3342850	921391	897547	0.974122	0.0150432
sample_SAMPLE_0935_CONTROL_CSF_fastq	24455303	19598292	19442731	0.992063	0.00766801
sample_SAMPLE_0935_CONTROL_SER_fastq	3202683	1478943	1330535	0.899653	0.0345177
sample_SAMPLE_0936_PD_SER_fastq	3856991	3146174	3125009	0.993273	0.00547422
sample_SAMPLE_0939_AD_SER_fastq	10511283	8058721	7690426	0.954299	0.0232341
sample_SAMPLE_0942_AD_CSF_fastq	13382217	7045373	6909694	0.980742	0.0199248
sample_SAMPLE_0942_AD_SER_fastq	6212915	1143211	811949	0.710235	0.0405789
sample_SAMPLE_0949_CONTROL_CSF_fastq	3389838	2343824	2305038	0.983452	0.0162249
sample_SAMPLE_0950_CONTROL_CSF_fastq	6770267	3517590	3465703	0.985249	0.0247546
sample_SAMPLE_0950_CONTROL_SER_fastq	5578183	552392	383151	0.693622	0.0614823
sample_SAMPLE_0954_PD_CSF_fastq	15788590	10729174	10544662	0.982803	0.0111964
sample_SAMPLE_0957_CONTROL_CSF_fastq	5956643	2348748	2306534	0.982027	0.0374822
sample_SAMPLE_0957_CONTROL_SER_fastq	11290924	3626343	1055695	0.291118	0.129876
sample_SAMPLE_1004_PD_CSF_fastq	2307767	1589791	1573595	0.989812	0.0153261
sample_SAMPLE_1013_CONTROL_CSF_fastq	10521409	2160371	2067157	0.956853	0.0233548
sample_SAMPLE_1016_AD_CSF_fastq	4941727	2140895	2106699	0.984027	0.0156847
sample_SAMPLE_1016_AD_SER_fastq	4579494	3104443	3026729	0.974967	0.0181546
sample_SAMPLE_1022_CONTROL_CSF_fastq	18671127	8958808	8770864	0.979021	0.023641
sample_SAMPLE_1022_CONTROL_SER_fastq	23686460	14584449	14354010	0.9842	0.0170348
sample_SAMPLE_1026_CONTROL_CSF_fastq	3443941	492456	479699	0.974095	0.0326601
sample_SAMPLE_1026_CONTROL_SER_fastq	3811061	2568332	2509808	0.977213	0.0131002
sample_SAMPLE_1027_PD_CSF_fastq	5775405	4194358	4113552	0.980735	0.0200007
sample_SAMPLE_1029_PD_SER_fastq	1513262	1036197	1021985	0.986284	0.0228819
sample_SAMPLE_1032_CONTROL_CSF_fastq	5107460	2274028	2202492	0.968542	0.0274734
sample_SAMPLE_1032_CONTROL_SER_fastq	8326495	2830750	1408965	0.497736	0.0956063
sample_SAMPLE_1036_AD_CSF_fastq	1407104	648558	638080	0.983844	0.0249608
sample_SAMPLE_1036_AD_SER_fastq	2028392	1462354	1438147	0.983447	0.0234239
sample_SAMPLE_1037_PD_CSF_fastq	12934380	7169262	7074968	0.986847	0.0165038
sample_SAMPLE_1037_PD_SER_fastq	9584966	4333057	3371991	0.778201	0.0338892
sample_SAMPLE_1039_CONTROL_CSF_fastq	6052695	3290942	3199886	0.972331	0.0230058
sample_SAMPLE_1039_CONTROL_SER_fastq	3306457	2155962	2110684	0.978999	0.022189
sample_SAMPLE_9431_PD_SER_fastq	10287391	1027453	591478	0.575674	0.0689138
sample_SAMPLE_9536_CONTROL_SER_fastq	4155745	2441150	2334582	0.956345	0.0131844
sample_SAMPLE_9539_CONTROL_SER_fastq	3308005	514708	366705	0.712452	0.0555733
sample_SAMPLE_9540_CONTROL_CSF_fastq	24695616	15755468	15447777	0.980471	0.00815697
sample_SAMPLE_9540_CONTROL_SER_fastq	3642418	1175442	644723	0.548494	0.084064
sample_SAMPLE_9604_AD_SER_fastq	96237	66215	64483	0.973843	0.0393437
sample_SAMPLE_9609_AD_SER_fastq	8420420	6111922	5889910	0.963676	0.0136588
sample_SAMPLE_9611_AD_CSF_fastq	9533844	5140524	5020122	0.976578	0.0170145
sample_SAMPLE_9611_AD_SER_fastq	3337830	1593828	492609	0.309073	0.145034
sample_SAMPLE_9617_AD_CSF_fastq	2834222	1935068	1904497	0.984202	0.015318
sample_SAMPLE_9617_AD_SER_fastq	29732903	15783128	15592443	0.987918	0.00310946
sample_SAMPLE_9618_AD_CSF_fastq	8882190	5517022	5419698	0.982359	0.0156287
sample_SAMPLE_9622_CONTROL_SER_fastq	2658036	646718	430634	0.665876	0.0647255
sample_SAMPLE_9629_AD_SER_fastq	7995682	1717173	1565618	0.911742	0.0290454
sample_SAMPLE_9630_CONTROL_CSF_fastq	3227466	713359	648692	0.909349	0.0326981
sample_SAMPLE_9630_CONTROL_SER_fastq	310793	183654	179512	0.977447	0.0387161
sample_SAMPLE_9631_AD_CSF_fastq	7402457	2800090	2640915	0.943154	0.0219079
sample_SAMPLE_9631_AD_SER_fastq	3215123	780799	504157	0.645694	0.0619291
sample_SAMPLE_9635_CONTROL_CSF_fastq	10858235	5979751	5932015	0.992017	0.00850487
sample_SAMPLE_9635_CONTROL_SER_fastq	3616854	1873314	1605412	0.85699	0.052295
sample_SAMPLE_9646_AD_CSF_fastq	2472034	1591476	1575564	0.990002	0.0123651
sample_SAMPLE_9646_AD_SER_fastq	619337	262426	164143	0.625483	0.0826962
sample_SAMPLE_9649_PD_SER_fastq	11687087	9951230	9860206	0.990853	0.0125412
sample_SAMPLE_9717_CONTROL_SER_fastq	16870175	14292116	14219346	0.994908	0.00612208
sample_SAMPLE_9718_AD_CSF_fastq	2034789	1141401	1126705	0.987125	0.0218327
sample_SAMPLE_9721_AD_CSF_fastq	7512140	3275837	3168219	0.967148	0.0235047
sample_SAMPLE_9722_AD_CSF_fastq	16754442	13120900	12953805	0.987265	0.014927
sample_SAMPLE_9722_AD_SER_fastq	20180222	12781881	12132405	0.949188	0.00881721
sample_SAMPLE_9724_AD_CSF_fastq	14911477	5075276	4873034	0.960152	0.016297
sample_SAMPLE_9725_AD_SER_fastq	12381083	9211671	9071965	0.984834	0.0159972
sample_SAMPLE_9737_CONTROL_CSF_fastq	4713432	329484	318974	0.968102	0.038326
sample_SAMPLE_9737_CONTROL_SER_fastq	6918003	3633028	3542039	0.974955	0.0184092
sample_SAMPLE_9739_AD_CSF_fastq	11944539	7649349	7501349	0.980652	0.0210405
sample_SAMPLE_9744_AD_CSF_fastq	14129065	4111653	3978319	0.967572	0.0217212
sample_SAMPLE_9744_AD_SER_fastq	5300953	2452976	2307986	0.940892	0.0246808
sample_SAMPLE_9745_CONTROL_SER_fastq	11278701	2261666	1446775	0.639694	0.0568872
sample_SAMPLE_9748_AD_CSF_fastq	2584797	1641179	1628965	0.992558	0.0155043
sample_SAMPLE_9748_AD_SER_fastq	8322550	5966072	5542334	0.928975	0.0148457
sample_SAMPLE_9749_PD_CSF_fastq	7844716	2901792	2812370	0.969184	0.0243421
sample_SAMPLE_9749_PD_SER_fastq	6902737	2448674	1992475	0.813695	0.0337174
sample_SAMPLE_9751_CONTROL_CSF_fastq	3601513	1048770	1040224	0.991851	0.0157264
sample_SAMPLE_9751_CONTROL_SER_fastq	4627217	2744416	2694774	0.981912	0.0135919
sample_SAMPLE_9803_PD_CSF_fastq	3604744	1960780	1945168	0.992038	0.0163508
sample_SAMPLE_9803_PD_SER_fastq	8292070	6629897	6578585	0.992261	0.0156772
sample_SAMPLE_9807_AD_CSF_fastq	8401100	4958865	4887312	0.985571	0.0204544
sample_SAMPLE_9807_AD_SER_fastq	10658459	3992989	3400203	0.851543	0.0226007
sample_SAMPLE_9810_AD_CSF_fastq	4253320	2161001	2117855	0.980034	0.0170838
sample_SAMPLE_9810_AD_SER_fastq	1452603	124609	108592	0.871462	0.0580245
sample_SAMPLE_9811_PD_CSF_fastq	2209675	1445399	1430536	0.989717	0.0129518
sample_SAMPLE_9811_PD_SER_fastq	3265902	2159159	2056488	0.952449	0.028113
sample_SAMPLE_9815_PD_CSF_fastq	22257005	14028145	13739282	0.979408	0.0102986
sample_SAMPLE_9815_PD_SER_fastq	6116568	3858400	3501597	0.907526	0.0238223
sample_SAMPLE_9818_AD_CSF_fastq	3070831	1171777	1122849	0.958245	0.0265138
sample_SAMPLE_9819_CONTROL_CSF_fastq	3570176	2002136	1967321	0.982611	0.015453
sample_SAMPLE_9822_CONTROL_CSF_fastq	3775637	2272335	2251443	0.990806	0.0146977
sample_SAMPLE_9822_CONTROL_SER_fastq	3758834	1303856	1219372	0.935205	0.0307412
sample_SAMPLE_9823_CONTROL_SER_fastq	3027504	503706	469524	0.932139	0.0412439
sample_SAMPLE_9824_PD_CSF_fastq	6522113	2991512	2914773	0.974348	0.0174
sample_SAMPLE_9824_PD_SER_fastq	9201754	2358081	1266023	0.536887	0.0850016
sample_SAMPLE_9829_PD_CSF_fastq	2337457	1416429	1401148	0.989212	0.0145352
sample_SAMPLE_9829_PD_SER_fastq	4965266	3490921	3350319	0.959724	0.0184532
